Swimlane ID	Swimlane	SwimLane Fieldname (autogenerated by formular)	Usecase ID	Usecase	Usecase Fieldname (autogenerated by formular)	Count of req per UC	Centers	2 digits centers	Business criticality	Aircraft Phase	Sizing Use Case	Target Epic	Originating Service/Platform	Target Service/Platform	Services/Interfaces required by Target	Capability or Interface	Comment
S1	Modeling & Simulation data storage / accessibility & compliance	S1: Modeling & Simulation data storage / accessibility & compliance	S1UC01	Legacy Systems Simulation	S1UC01: Legacy Systems Simulation	0	1YV	1Y	Critical	Current programs & eAction	FALSE	Giseh, Data	SPDM	Giseh IaaC, Single Node Batch, Interactive Service	Data Management	Capability	SPDM triggering an "antique" workflow, would involve setting up matching infrastructure, could work with cloudstack
S1	Modeling & Simulation data storage / accessibility & compliance	S1: Modeling & Simulation data storage / accessibility & compliance	S1UC02	Create/Update Metadata for Simulation and Models Data Management	S1UC02: Create/Update Metadata for Simulation and Models Data Management	5	1YV	1Y	High	Current programs & eAction	FALSE	Data	Data Management			Interface	Seems Data Epic only
S1	Modeling & Simulation data storage / accessibility & compliance	S1: Modeling & Simulation data storage / accessibility & compliance	S1UC03	Generic Data Orchestration and Caching	S1UC03: Generic Data Orchestration and Caching	1	ALL	AL	High	Current programs & eAction	FALSE	Data, SPDM	Data Management			Interface	Mixture of SPDM and Data Management requirements, interface between Compute, SPDM and Data Management should be discussed (strategy)
S1	Modeling & Simulation data storage / accessibility & compliance	S1: Modeling & Simulation data storage / accessibility & compliance	S1UC04	Restricted Data Compliance - Metadata-Driven Access Control MDAC	S1UC04: Restricted Data Compliance - Metadata-Driven Access Control MDAC	1	ALL	AL	Critical	Current programs & eAction	FALSE	Data, SPDM	Data Management			Interface	Giseh not part of the use case
S1	Modeling & Simulation data storage / accessibility & compliance	S1: Modeling & Simulation data storage / accessibility & compliance	S1UC05	SPDM control	S1UC05: SPDM control	3	ALL	AL	High	Current programs & eAction	FALSE	Giseh, SPDM, DDMS: Workflow	SPDM	Single Node Batch, HPC Multi Node Batch	Data Management	Interface	Giseh only offering compute services
S1	Modeling & Simulation data storage / accessibility & compliance	S1: Modeling & Simulation data storage / accessibility & compliance	S1UC06	Seamless Storage Provisioning	S1UC06: Seamless Storage Provisioning	0	ALL	AL	Critical	Current programs & eAction	FALSE	Data	Data Management			Interface	Giseh not part of the use case
S1	Modeling & Simulation data storage / accessibility & compliance	S1: Modeling & Simulation data storage / accessibility & compliance	S1UC07	Single-Sign On	S1UC07: Single-Sign On	0	ALL	AL	High	Current programs & eAction	FALSE	SPDM, Giseh	Giseh VDI	SPDM	Skywise, Data Management	Capability	Doubtful use case. 1G is basically asking to have VDIs with the same roles as Windows Desktops.
S1	Modeling & Simulation data storage / accessibility & compliance	S1: Modeling & Simulation data storage / accessibility & compliance	S1UC08	External services and datasets	S1UC08: External services and datasets	0	1G	1G	High	Current programs & eAction	FALSE	OUT OF SCOPE	Giseh VDI			Interface	Connecting to outside repositories to download data has to be authorized by security (e.g. EPOT request), there is no generic way to enable them by default
S2	Functional Design Development and Deployment of Applications	S2: Functional Design Development and Deployment of Applications	S2UC01	Development of Giseh compatible solution	S2UC01: Development of Giseh compatible solution	0	1Y/1G	1Y	High	Current programs & eAction	FALSE	Giseh	Giseh VDI, Windows Laptop	Giseh Dev Environment	Giseh Application Repo, Jenkins	Capability	After alignment with customer: Requirement is on providing a proper development environment/service with documentation for the Giseh environment that is also accessible from Windows
S2	Functional Design Development and Deployment of Applications	S2: Functional Design Development and Deployment of Applications	S2UC02	Solver Release Validation and Benchmarking	S2UC02: Solver Release Validation and Benchmarking	14	1A	1A	High	Current programs & eAction	FALSE	Giseh	Giseh VDI, Windows Laptop	Giseh Sandbox Environment		Capability	Need for a sandbox environment accessible to Business that is sufficiently Giseh-like
S2	Functional Design Development and Deployment of Applications	S2: Functional Design Development and Deployment of Applications	S2UC03	End-to-End Stress Analysis Tool Development & Support - ISAMI+	S2UC03: End-to-End Stress Analysis Tool Development & Support - ISAMI+	24	1A	1A	High	Current programs & eAction	FALSE	Giseh	Giseh VDI, Windows Laptop	Giseh Dev Environment	Agentic AI, Jenkins, Giseh Application Repo, Giseh Sandbox Environment	Capability	Need is development environment/notebook service with remote access options potentially accessible from Windows (e.g. via browser)
S2	Functional Design Development and Deployment of Applications	S2: Functional Design Development and Deployment of Applications	S2UC04	Simplified build & deploy of business applications	S2UC04: Simplified build & deploy of business applications	0	1G	1G	High	Current programs & eAction	FALSE	Giseh	Giseh VDI, Windows Laptop	Giseh Dev Environment		Capability	Need is self-service for the application life cycle open to Business
S2	Functional Design Development and Deployment of Applications	S2: Functional Design Development and Deployment of Applications	S2UC05	Monitoring and in-service support for business developers	S2UC05: Monitoring and in-service support for business developers	0	1G	1G	Medium	Current programs & eAction	FALSE	Application Life Cycle	Single Node Batch, HPC Multi Node Batch	Runtime Profiling/Analysis	Data Management	Capability	Potentially out of scope for certain parts that may be in conflict with GDPR.
S2	Functional Design Development and Deployment of Applications	S2: Functional Design Development and Deployment of Applications	S2UC06	Control on tool deployment to meet EC & IP needs	S2UC06: Control on tool deployment to meet EC & IP needs	0	1G	1G	High	Current programs & eAction	FALSE	Giseh	Giseh VDI, Windows Laptop	Giseh Application Repo	Data Management	Capability	access to application depending on e.g. site/user group/export control/IP
S2	Functional Design Development and Deployment of Applications	S2: Functional Design Development and Deployment of Applications	S2UC07	Giseh application BOTS Development/Maintenance	S2UC07: Giseh application BOTS Development/Maintenance	0	1PZ	1P	Medium	Current programs & eAction	FALSE	Giseh	Giseh VDI	Giseh Dev Environment	Jenkins, Giseh Sandbox Environment, Giseh Application Repo	Capability	Need is development environment with the addition of local support for sonar (e.g. offer Sonarqube binding in IDE)
S2	Functional Design Development and Deployment of Applications	S2: Functional Design Development and Deployment of Applications	S2UC08	Codeshare control	S2UC08: Codeshare control	0	ALL	AL	Critical	Current programs & eAction	FALSE	Data, Giseh	Giseh VDI	Giseh Application Repo	Data Management	Capability	Translates to metadata-driven access control, to be provided by the data management layer
S2	Functional Design Development and Deployment of Applications	S2: Functional Design Development and Deployment of Applications	S2UC09	Validation and management of COTS Tools	S2UC09: Validation and management of COTS Tools	0	1YV	1Y	Critical	Current programs & eAction	FALSE	Giseh	Giseh VDI	Giseh Sandbox Environment	Giseh Application Repo	Capability	Need for a sandbox environment accessible to Business that is sufficiently Giseh-like
S2	Functional Design Development and Deployment of Applications	S2: Functional Design Development and Deployment of Applications	S2UC10	Application Packaging	S2UC10: Application Packaging	0	1G	1G	High	Current programs & eAction	FALSE	Giseh	Giseh VDI	Giseh Sandbox Environment, Giseh Dev Environment	Giseh Application Repo, Jenkins	Capability	Need for self-service application deployment (part of the application life cycle) via repo
S2	Functional Design Development and Deployment of Applications	S2: Functional Design Development and Deployment of Applications	S2UC11	High-Performance Remote IDE & HPC Software Development Environment	S2UC11: High-Performance Remote IDE & HPC Software Development Environment	0	1G	1G	High	Current programs & eAction	FALSE	Giseh	Giseh VDI	Giseh Dev Environment, Runtime Profiling/Analysis	Jenkins, Giseh Application Repo	Capability	Need for a remote development solution for demanding applications (e.g. CODA). Should only differ in terms of resources.  
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC01	Simulation for 1YC group using GISEH Interactive	S3UC01: Simulation for 1YC group using GISEH Interactive	0	1YC	1Y	High	Current programs & eAction	FALSE	OUT OF SCOPE	Giseh VDI	Giseh VDI		Out Of Scope 	Running batch compute on a VDI, doubtful use case, BOT integration to be covered via S3UC02
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC02	SIMPA Simulation using GISEH Batch	S3UC02: SIMPA Simulation using GISEH Batch	0	1YC	1Y	High	Current programs & eAction	FALSE	Giseh	Giseh VDI	Single Node Batch		Capability	Batch orchestration software run on a VDI is submitting a batch campaign
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC03	System Performance Simulation using MATLAB/DYMOLA	S3UC03: System Performance Simulation using MATLAB/DYMOLA	0	1YV/1YC	1Y	Critical	Current programs & eAction	FALSE	Giseh	Giseh VDI	Single Node Batch		Capability	Mostly a pain point, slow start of applications, RHEL9 migration subject as recent versions of Dymola and Matlab are not supported on RHEL7 anymore
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC04	Model simulation with OSMA	S3UC04: Model simulation with OSMA	0	1YY	1Y	High	Current programs & eAction	FALSE	OUT OF SCOPE	Giseh VDI		Single Node Batch	Out Of Scope 	Seems that OSMA/Sesame need to call single node batch compute via API, development needs to be done also in place within the BOT or Batch integration feature.
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC05	CFD Simulation Study - Collaborative	S3UC05: CFD Simulation Study - Collaborative	0	1YV/1YL	1Y	High	Current programs & eAction	FALSE	Giseh, Data	Giseh VDI	HPC Multi Node Batch, Giseh VDI	DMU/Catia, Jupyter Notebook	Capability	DMU: 3DX interface (CATIA), 
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC06	Nacelle Icing Suite	S3UC06: Nacelle Icing Suite	0	1YA	1Y	High	Current programs & eAction	FALSE	Giseh	Windows Laptop	Windows Laptop: Pre/Post	HPC Multi Node Batch, Giseh VDI: Compute	Interface	pre/post run on Windows, further clarification required, today interface only with storage
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC07	Particular Risk Analysis PRA	S3UC07: Particular Risk Analysis PRA	0	1YI	1Y	High	Current programs & eAction	FALSE	Giseh, DMU: CATIA/3DX	Windows Laptop	Windows Laptop: Pre/Post	Single Node Batch, DMU/Catia	Interface	pre/post run on Windows, 3DX Catia, compute run on Giseh Batch (could be seen as workflow spanning Single Node Batch and 3DX.
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC08	Airframe FEM based simulations	S3UC08: Airframe FEM based simulations	31	1A	1A	High	Current programs & eAction	FALSE	Giseh	Giseh VDI	Giseh VDI: Pre/Post	HPC Multi Node Batch, DMU/Catia, SPDM	Capability	Typical pre/post Giseh VDI, compute on HPC/Giseh Batch, request for VDI session management, codeshare to slow for big applications, users complaining about slow startup
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC09	Stress Engineer Solvers Execution and Data Management 	S3UC09: Stress Engineer Solvers Execution and Data Management 	15	1A	1A	High	Current programs & eAction	FALSE	Giseh	Windows Laptop	Giseh Login Node	Airbus GitRepo, HPC Multi Node Batch, Single Node Batch	Interface	UX issue: Linux Desktop looks alien for Windows users, hence MobaXterm, simple optimization/root finding solution required: bash/python script + batch application 
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC10	Analysis for production issue	S3UC10: Analysis for production issue	6	1A	1A	Critical	Current programs & eAction	FALSE	OUT OF SCOPE	Giseh VDI	Giseh VDI	Single Node Batch	Capability	Requirement for ensured availability for a pre/post + solver chain to comply with manufacturing needs, a bit like of AOG - There is no existing service level commitment from the D organizations which our services depend on, which is compliant to AOG requirements.
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC11	AoG Modeling & Simulations	S3UC11: AoG Modeling & Simulations	8	1A	1A	Critical	Current programs & eAction	FALSE	OUT OF SCOPE				Capability	AOG out of scope, there is no existing service level commitment from the D organizations which our services depend on, which is compliant to AOG requirements.
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC12	Airframe Structure Analysis Solutions ISAMI/ISAMI+	S3UC12: Airframe Structure Analysis Solutions ISAMI/ISAMI+	8	1A	1A	Critical	Current programs & eAction	FALSE	Giseh	Giseh VDI	Giseh VDI: Compute, Single Node Batch	Data Management, SPDM	Capability	application-specific use case, certifation-critical, requires support for older versions (RHEL5 mentioned??) 
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC13	Loads In Service Incident Simulations	S3UC13: Loads In Service Incident Simulations	0	1G	1G	High	Current programs & eAction	FALSE	OUT OF SCOPE				Capability	AOG out of scope, there is no existing service level commitment from the D organizations which our services depend on, which is compliant to AOG requirements.
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC14	MTC Simulation Campaign	S3UC14: MTC Simulation Campaign	0	1G	1G	Critical	Current programs & eAction	FALSE	Giseh	Giseh VDI	Giseh VDI: Pre/Post	Containerized Single Node Batch, Single Node Batch	Capability	Need is for orchestrated single core compute running on the same data pool and with capacity burst
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC15	HPC Simulation Campaign	S3UC15: HPC Simulation Campaign	1	1G	1G	Critical	Current programs & eAction	FALSE	Giseh	Giseh VDI	Giseh VDI: Pre/Post	HPC Multi Node Batch	Capability	HPC itself is out of scope (see NG HPC project)   Data MgMt out of scope. InScope for painpoint around data transfer wrt new storage concept
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC16	MTC Rapid Exploration Campaign	S3UC16: MTC Rapid Exploration Campaign	0	1G	1G	High	Current programs & eAction	FALSE	Giseh	Giseh VDI	Hybrid Rapid Batch	Skywise	Out Of Scope 	sounds like RapidBatch with data connectors for e.g. Skywise
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC17	Notebook user interface	S3UC17: Notebook user interface	0	1G	1G	Medium	Current programs & eAction	FALSE	Giseh	Windows Laptop	Jupyter Notebook	Data Management, Giseh Application Repo	Capability	Need for jupyter notebook service running like RapidBatch
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC18	Long term replayability of simulation	S3UC18: Long term replayability of simulation	0	1G	1G	Critical	Current programs & eAction	FALSE	OUT OF SCOPE				Out Of Scope 	Almost impossible without a cloud stack supporting, supporting RHEL7 is otherwise not supported on the future platform. With todays existing Airbus digital processes and downstream available infrastructure lifecycle management not feasible. Possible to tackle in special transdisciplinary project specificaly tailored for lineage conservation of technology stack, beyond the capabilities of Co-Architecture
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC19	PPS iFEM ProPulsion System integrated FEM	S3UC19: PPS iFEM ProPulsion System integrated FEM	2	1PAI3	1P	High	Current programs & eAction	FALSE	Giseh	Giseh VDI	Giseh VDI: Pre/Post	HPC Multi Node Batch, Single Node Batch, DMU/Catia	Capability	Typical pre/post on Giseh VDI + solver run on Batch, special setup required for running outdated NASTRAN versions, difficult without capability to easily created segregated environments
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC20	PPS Vibration Analyses	S3UC20: PPS Vibration Analyses	0	1PAI3	1P	High	Current programs & eAction	FALSE	Giseh	Giseh VDI	Giseh VDI: Pre/Post	HPC Multi Node Batch, Single Node Batch, DMU/Catia	Capability	Typical pre/post on Giseh VDI + solver run on Batch
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC21	End To End system and integrated system behavioral simulation e.g. TTIM Load Loop	S3UC21: End To End system and integrated system behavioral simulation e.g. TTIM Load Loop	0	1PYP3	1P	High	Current programs & eAction	FALSE	Giseh	Giseh VDI	Giseh VDI: Pre/Post	Single Node Batch, HPC Multi Node Batch, SPDM, Data Management	Capability	Seems to be a workflow coded in Python where the workflow itself is subject to lots of changes, then the workflow is invoked on multiple input data
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC22	ZEROe H2 explosion scenario	S3UC22: ZEROe H2 explosion scenario	0	1PGM	1P	High	Current programs & eAction	FALSE	Giseh	Giseh VDI	Giseh VDI: Pre/Post	HPC Multi Node Batch, Single Node Batch, DMU/Catia	Capability	Standard pre/post + solver workflow
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC23	ZEROe H2 explosion high fidelity modeling	S3UC23: ZEROe H2 explosion high fidelity modeling	0	1PGM	1P	High	Current programs & eAction	FALSE	Giseh	Giseh VDI	Giseh VDI: Pre/Post	HPC Multi Node Batch, Single Node Batch, DMU/Catia	Capability	business workflow starts with CATIA, DMU, then continues with standard pre/post + solver scenario
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC24	ZEROe H2 dispersion modeling	S3UC24: ZEROe H2 dispersion modeling	0	1PGM	1P	Medium	Current programs & eAction	FALSE	Giseh	Giseh VDI	Giseh VDI: Pre/Post	HPC Multi Node Batch, Single Node Batch, DMU/Catia	Capability	as above, including DMU interface
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC25	Fire extinguishing agent dispersion CFD modeling	S3UC25: Fire extinguishing agent dispersion CFD modeling	0	1PGM	1P	Medium	Current programs & eAction	FALSE	Giseh	Giseh VDI	Giseh VDI: Pre/Post	Single Node Batch, HPC Multi Node Batch, DMU/Catia	Capability	Standard pre/post + solver workflow
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC26	Fire CFD modeling	S3UC26: Fire CFD modeling	0	1PGM	1P	Low	Current programs & eAction	FALSE	Giseh	Giseh VDI	Giseh VDI: Pre/Post	HPC Multi Node Batch, DMU/Catia	Capability	Standard pre/post + solver workflow
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC27	eAction PPS Core Compartment ventilation 	S3UC27: eAction PPS Core Compartment ventilation 	0	1PGP4/6	1P	Medium	Current programs & eAction	FALSE	Giseh	Giseh VDI	Giseh VDI: Pre/Post	HPC Multi Node Batch, DMU/Catia, SPDM	Capability	Standard pre/post + solver workflow, pain point again slow applications start times
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC28	Interior Noise - Near Field Noise	S3UC28: Interior Noise - Near Field Noise	0	1PGA/M	1P	High	Current programs & eAction	FALSE	Giseh	Giseh VDI	Giseh VDI: Pre/Post	HPC Multi Node Batch, External Repos, Google Workspace, DMU/Catia	Capability	IPR-controlled engine data coming from source external to Airbus, standard pre/post/solver, interface to Google Workspace requested, 3DX Interface 
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC29	eAction PPS structure thermal	S3UC29: eAction PPS structure thermal	0	1PGP4/6	1P	Critical	Current programs & eAction	FALSE	Giseh	Giseh VDI	Giseh VDI: Pre/Post	HPC Multi Node Batch, DMU/Catia	Capability	CATIA + pre/post/solver
